data_quarter,date_,year_,month_,suburb,br1_flat_count,br1_flat_median_price
2008-06,2008-06-01,2008,6,Adelaide,53,255.0
2008-09,2008-09-01,2008,9,Adelaide,68,250.0
2008-12,2008-12-01,2008,12,Adelaide,41,230.0
2009-03,2009-03-01,2009,3,Adelaide,212,270.0
2009-06,2009-06-01,2009,6,Adelaide,197,270.0
2009-09,2009-09-01,2009,9,Adelaide,234,260.0
2009-12,2009-12-01,2009,12,Adelaide,104,270.0
2010-03,2010-03-01,2010,3,Adelaide,346,270.0
2010-06,2010-06-01,2010,6,Adelaide,156,270.0
2010-09,2010-09-01,2010,9,Adelaide,166,275.0
2010-12,2010-12-01,2010,12,Adelaide,213,260.0
2011-03,2011-03-01,2011,3,Adelaide,393,275.0
2011-06,2011-06-01,2011,6,Adelaide,183,269.0
2011-09,2011-09-01,2011,9,Adelaide,297,255.0
2011-12,2011-12-01,2011,12,Adelaide,128,259.0
2012-03,2012-03-01,2012,3,Adelaide,189,270.0
2012-06,2012-06-01,2012,6,Adelaide,198,270.0
2012-09,2012-09-01,2012,9,Adelaide,174,275.0
2012-12,2012-12-01,2012,12,Adelaide,117,275.0
2013-03,2013-03-01,2013,3,Adelaide,181,285.0
2013-06,2013-06-01,2013,6,Adelaide,281,270.0
2013-09,2013-09-01,2013,9,Adelaide,169,280.0
2013-12,2013-12-01,2013,12,Adelaide,149,290.0
2014-03,2014-03-01,2014,3,Adelaide,162,295.0
2014-06,2014-06-01,2014,6,Adelaide,350,285.0
2014-09,2014-09-01,2014,9,Adelaide,281,290.0
2014-12,2014-12-01,2014,12,Adelaide,122,290.0
2015-03,2015-03-01,2015,3,Adelaide,278,288.0
2015-06,2015-06-01,2015,6,Adelaide,413,295.0
2015-09,2015-09-01,2015,9,Adelaide,286,290.0
2015-12,2015-12-01,2015,12,Adelaide,382,295.0
2016-03,2016-03-01,2016,3,Adelaide,710,280.0
2016-06,2016-06-01,2016,6,Adelaide,342,300.0
2016-09,2016-09-01,2016,9,Adelaide,526,280.0
2016-12,2016-12-01,2016,12,Adelaide,260,300.0
2017-03,2017-03-01,2017,3,Adelaide,714,295.0
2017-06,2017-06-01,2017,6,Adelaide,372,307.0
2017-09,2017-09-01,2017,9,Adelaide,452,295.0
2017-12,2017-12-01,2017,12,Adelaide,427,305.0
2018-03,2018-03-01,2018,3,Adelaide,1126,299.0
2018-06,2018-06-01,2018,6,Adelaide,558,320.0
2018-09,2018-09-01,2018,9,Adelaide,831,300.0
2018-12,2018-12-01,2018,12,Adelaide,706,325.0
2019-03,2019-03-01,2019,3,Adelaide,1389,320.0
2019-06,2019-06-01,2019,6,Adelaide,547,325.0
2019-09,2019-09-01,2019,9,Adelaide,956,325.0
2019-12,2019-12-01,2019,12,Adelaide,740,329.0
2020-03,2020-03-01,2020,3,Adelaide,1310,330.0
2020-06,2020-06-01,2020,6,Adelaide,347,345.0
2020-09,2020-09-01,2020,9,Adelaide,481,339.0
2020-12,2020-12-01,2020,12,Adelaide,364,345.0
2021-03,2021-03-01,2021,3,Adelaide,612,319.5
2021-06,2021-06-01,2021,6,Adelaide,346,339.0
2021-09,2021-09-01,2021,9,Adelaide,410,297.0
2021-12,2021-12-01,2021,12,Adelaide,402,300.0
2022-03,2022-03-01,2022,3,Adelaide,2027,300.0
2022-06,2022-06-01,2022,6,Adelaide,1021,309.0
2022-09,2022-09-01,2022,9,Adelaide,1326,329.0
2022-12,2022-12-01,2022,12,Adelaide,1302,309.0
2023-03,2023-03-01,2023,3,Adelaide,2290,364.0
2023-06,2023-06-01,2023,6,Adelaide,947,359.0
2023-09,2023-09-01,2023,9,Adelaide,1582,379.0
2023-12,2023-12-01,2023,12,Adelaide,675,389.0
2024-03,2024-03-01,2024,3,Adelaide,2470,379.0
2024-06,2024-06-01,2024,6,Adelaide,700,404.5
2024-09,2024-09-01,2024,9,Adelaide,1565,380.0
